x Curve1
205.79 1.30914
229.9 1.55466
254.01 1.5481
278.11 1.77146
302.22 1.95651
326.33 1.98148
350.44 1.95646
374.55 1.9219
398.65 1.93772
422.76 1.98469
446.87 2.03115
470.98 2.05288
495.09 2.06734
519.19 2.03797
543.3 2.00865
567.41 1.97899
591.52 1.95593
615.63 1.94129
639.73 1.91733
663.84 1.90285
687.95 1.8971
712.06 1.89312
736.17 1.88998
760.27 1.88732
784.38 1.88494
808.49 1.88275
832.6 1.88069
856.71 1.87874
880.81 1.87688
904.92 1.87508
929.03 1.87333
953.14 1.87163
977.25 1.86996
1001.35 1.86832
1025.46 1.86671
1049.57 1.8651
1073.68 1.86351
1097.79 1.86191
1121.9 1.86031
1146 1.85868
1170.11 1.85702
1194.22 1.85534
1218.33 1.85363
1242.44 1.8519
1266.54 1.85018
1290.65 1.84848
1314.76 1.84682
1338.87 1.84523
1362.98 1.84371
1387.08 1.84229
1411.19 1.84095
1435.3 1.83969
1459.41 1.83849
1483.52 1.83732
1507.62 1.83618
1531.73 1.83505
1555.84 1.83394
1579.95 1.83283
1604.06 1.83171
1628.16 1.83058
1652.27 1.82944
1676.38 1.82827
1700.49 1.82708
1724.6 1.82585
1748.7 1.82456
1772.81 1.82322
1796.92 1.82183
1821.03 1.82041
1845.14 1.81895
1869.24 1.8175
1893.35 1.81606
1917.46 1.81466
1941.57 1.81333
1965.68 1.8121
1989.78 1.81102
2013.89 1.81011
2038 1.80942
2062.11 1.80896
2086.22 1.80871
2110.32 1.80862
2134.43 1.80864
2158.54 1.80872
2182.65 1.80883
2206.76 1.80889
2230.87 1.80885
2254.97 1.80865
2279.08 1.80822
2303.19 1.80755
2327.3 1.80664
2351.41 1.80553
2375.51 1.80424
2399.62 1.8028
2423.73 1.80125
2447.84 1.7996
2471.95 1.79791
