λ(nm) n k
400 2.4429 0.39473
401 2.4414792 0.39275733
402 2.4405863 0.39060077
403 2.4422712 0.38754642
404 2.444784 0.38270208
405 2.4489775 0.3742236
406 2.450475 0.3623925
407 2.4489324 0.3467808
408 2.4420254 0.3331283
409 2.4313905 0.3208373
410 2.4203205 0.31328717
411 2.4090638 0.30776885
412 2.3997774 0.30451283
413 2.3910143 0.3018582
414 2.3837411 0.29982135
415 2.376731 0.2978935
416 2.3707879 0.296094
417 2.3649502 0.2943072
418 2.3597348 0.29250422
419 2.3545587 0.2907002
420 2.349835 0.2888715
421 2.345135 0.2870415
422 2.3407817 0.2852138
423 2.3364468 0.2833862
424 2.3323119 0.28156686
425 2.3281941 0.27974823
426 2.3242824 0.27795368
427 2.320399 0.27616242
428 2.3166397 0.2744158
429 2.3129077 0.27267894
430 2.3092928 0.27097595
431 2.3057215 0.26928547
432 2.3022408 0.26763368
433 2.2988136 0.26600456
434 2.2954412 0.26440263
435 2.2921233 0.26282784
436 2.288872 0.26127917
437 2.2857382 0.25977686
438 2.2826188 0.25828585
439 2.2795594 0.2568429
440 2.2765 0.2554
441 2.2736042 0.25401992
442 2.270708 0.25263983
443 2.267868 0.25130847
444 2.265043 0.24999009
445 2.2622886 0.24870875
446 2.2595894 0.24745655
447 2.2569106 0.24622078
448 2.254279 0.24502341
449 2.2516503 0.2438273
450 2.2491722 0.24269252
451 2.2466938 0.24155773
452 2.2442696 0.24046129
453 2.241866 0.23937975
454 2.2395039 0.23832004
455 2.237206 0.23729451
456 2.2349122 0.23627084
457 2.2327182 0.23529194
458 2.230524 0.23431304
459 2.2284043 0.23337024
460 2.2263207 0.23244525
461 2.2242556 0.23153445
462 2.222239 0.23066202
463 2.2202227 0.22978958
464 2.2182887 0.22895057
465 2.21637 0.22811791
466 2.2144766 0.22730492
467 2.2126217 0.22652265
468 2.210767 0.2257404
469 2.2090347 0.2249966
470 2.2073147 0.2242566
471 2.2056031 0.22353803
472 2.2039037 0.22285028
473 2.202204 0.22216253
474 2.2005906 0.22151281
475 2.1989892 0.22086827
476 2.1974163 0.22024147
477 2.1959047 0.21965232
478 2.194393 0.21906318
479 2.1928942 0.2185159
480 2.1914 0.21798334
481 2.1899185 0.21745966
482 2.1885223 0.21699551
483 2.187126 0.21653135
484 2.1857529 0.21610662
485 2.1844046 0.2157246
486 2.183056 0.21534258
487 2.18178 0.215039
488 2.1805208 0.21475382
489 2.179263 0.21448228
490 2.1780176 0.21432109
491 2.176772 0.21415992
492 2.1755457 0.21406
493 2.17435 0.21406
494 2.1731544 0.21406
495 2.1720357 0.214184
496 2.1709642 0.214384
497 2.1698928 0.214584
498 2.1688566 0.21500674
499 2.1678283 0.21547838
500 2.1668 0.21595
501 2.1659608 0.21676818
502 2.1651218 0.21758637
503 2.164308 0.21846972
504 2.1636505 0.21975346
505 2.1629932 0.2210372
506 2.16244 0.22247432
507 2.1622005 0.22437158
508 2.1619606 0.22626884
509 2.1619227 0.22842743
510 2.1622941 0.23111662
511 2.1626658 0.2338058
512 2.1634817 0.23686244
513 2.1650536 0.24054472
514 2.1666255 0.24422699
515 2.1689796 0.24831468
516 2.1726098 0.25306386
517 2.1762402 0.25781304
518 2.181185 0.26277697
519 2.1885705 0.26813972
520 2.1959562 0.27350244
521 2.205101 0.27836055
522 2.2185526 0.28198314
523 2.2320042 0.2856057
524 2.246706 0.28768077
525 2.266738 0.28315848
526 2.2867696 0.2786362
527 2.3066943 0.27331948
528 2.3245807 0.2529094
529 2.3424673 0.2324993
530 2.3603537 0.21208921
531 2.3620338 0.1840268
532 2.3615043 0.15492088
533 2.3609748 0.12581496
534 2.349229 0.107187815
535 2.3319592 0.09372186
536 2.3146892 0.08025591
537 2.303291 0.069761775
538 2.3003428 0.06354415
539 2.2973945 0.057326514
540 2.2935927 0.050755866
541 2.2835326 0.041596405
542 2.2734728 0.032436945
543 2.2634127 0.023277486
544 2.2535641 0.018572403
545 2.2437718 0.015051394
546 2.2339795 0.011530385
547 2.2250578 0.00894274
548 2.2173386 0.007644027
549 2.2096193 0.006345313
550 2.2019 0.0050466
551 2.1958017 0.004584692
552 2.1897035 0.004122785
553 2.1836052 0.003660877
554 2.1781 0.003370717
555 2.1731 0.00322686
556 2.1681 0.003083003
557 2.1631322 0.002943656
558 2.1589348 0.002912557
559 2.1547377 0.002881459
560 2.1505406 0.00285036
561 2.1466255 0.002834254
562 2.1430044 0.002833753
563 2.1393833 0.002833252
564 2.1357622 0.00283275
565 2.132507 0.002831983
566 2.129293 0.002831186
567 2.1260786 0.00283039
568 2.1229532 0.002827045
569 2.1200805 0.002816449
570 2.1172078 0.002805853
571 2.1143353 0.002795256
572 2.1116178 0.002778536
573 2.1090171 0.002757195
574 2.1064167 0.002735855
575 2.103816 0.002714514
576 2.1013832 0.002686255
577 2.098982 0.002656677
578 2.096581 0.002627099
579 2.0941877 0.002597252
580 2.0919423 0.002562291
581 2.089697 0.00252733
582 2.0874515 0.002492369
583 2.0852418 0.002456899
584 2.0831597 0.002419624
585 2.0810773 0.002382349
586 2.0789952 0.002345074
587 2.0769534 0.002307731
588 2.074994 0.00227025
589 2.0730348 0.002232769
590 2.0710757 0.002195289
591 2.069168 0.002158484
592 2.0673387 0.002122695
593 2.065509 0.002086905
594 2.0636795 0.002051116
595 2.0618913 0.002016465
596 2.060163 0.001983453
597 2.0584345 0.00195044
598 2.0567062 0.001917428
599 2.055003 0.001885649
600 2.0533445 0.001856064
601 2.0516858 0.001826479
602 2.0500274 0.001796893
603 2.0484 0.001768294
604 2.0468616 0.0017425
605 2.0453231 0.001716707
606 2.0437846 0.001690914
607 2.0422504 0.001665505
608 2.0407538 0.001643557
609 2.0392575 0.00162161
610 2.037761 0.001599662
611 2.0362647 0.001577714
612 2.0348494 0.001559105
613 2.0334442 0.001540908
614 2.0320392 0.001522711
615 2.030634 0.001504515
616 2.0292714 0.001488529
617 2.027935 0.001473897
618 2.0265987 0.001459266
619 2.025262 0.001444635
620 2.0239427 0.001430892
621 2.0226672 0.001419434
622 2.0213916 0.001407976
623 2.0201159 0.001396518
